ID,DAGM no.,Collection accession number,Text(s),Ascribed period,First published in,,,,,,,
28,28,"Neapolitanus graecus 262 (III C 4), f. 82v-83r","Mesomedes, Hymn to Nemesis",Second century CE,"Ed. Princeps: Galilei (1602), 97",,,,,,,
29,29,"Ottobonianus graecus 59, f. 31v-33r","Mesomedes, Hymn to Isis",Second century CE,"Lambros, S., Ἀνέκδοτα ἀρχαῖα ποιήματα, NH 3, 1906, 3-11.",,,,,,,
30,30,"Ottobonianus graecus 59, f. 31v-33r","Mesomedes, Hymn to Physis",Second century CE,"Lambros, S., Ἀνέκδοτα ἀρχαῖα ποιήματα, NH 3, 1906, 3-11.",,,,,,,
31,31,"Ottobonianus graecus 59, f. 31v-33r","Mesomedes, Hymn to the Sundial",Second century CE,"Lambros, S., Ἀνέκδοτα ἀρχαῖα ποιήματα, NH 3, 1906, 3-11.",,,,,,,
32,32,"Venetus Marcianus VI 10 (see DAGM, 118-9, Bellerman used six manuscripts)","Anonymus, Bellermann, 104",Third-fourth century CE?,"Bellerman, F. [Ed.] Anonymi scripto de muscia, Bacchii senioris introductio artis musicae, Berlin 1841.",,,,,,,
33,33,"Venetus Marcianus VI 10 (see DAGM, 118-9, Bellerman used six manuscripts)","Anonymus, Bellermann, 97",Third-fourth century CE?,"Bellerman, F. [Ed.] Anonymi scripto de muscia, Bacchii senioris introductio artis musicae, Berlin 1841.",,,,,,,
34,34,"Venetus Marcianus VI 10 (see DAGM, 118-9, Bellerman used six manuscripts)","Anonymus, Bellermann, 100",Third-fourth century CE?,"Bellerman, F. [Ed.] Anonymi scripto de muscia, Bacchii senioris introductio artis musicae, Berlin 1841.",,,,,,,
35,35,"Venetus Marcianus VI 10 (see DAGM, 118-9, Bellerman used six manuscripts)","Anonymus, Bellermann, 98",Third-fourth century CE?,"Bellerman, F. [Ed.] Anonymi scripto de muscia, Bacchii senioris introductio artis musicae, Berlin 1841.",,,,,,,
36,36,"Venetus Marcianus VI 10 (see DAGM, 118-9, Bellerman used six manuscripts)","Anonymus, Bellermann, 99",Third-fourth century CE?,"Bellerman, F. [Ed.] Anonymi scripto de muscia, Bacchii senioris introductio artis musicae, Berlin 1841.",,,,,,,
37,37,"Venetus Marcianus VI 10 (see DAGM, 118-9, Bellerman used six manuscripts)","Anonymus, Bellermann, 101",Third-fourth century CE?,"Bellerman, F. [Ed.] Anonymi scripto de muscia, Bacchii senioris introductio artis musicae, Berlin 1841.",,,,,,,
